timestamp,system,config,nodes,devices,status,throughput_tokens_per_sec,throughput_tokens_per_sec_per_device,mfu,tflops,steps,notes
2026-08-11T17:12:30Z,SunSpot,agpt-2b/bs1/seq2048/tp1,1,12,pass,61216.953,5101.41,,,20,"original row; predates the current export, MFU/TFLOPS unrecoverable (run dir gone)"
2026-08-25T15:04:00Z,SunSpot,agpt-2b/bs1/seq2048/tp1,1,12,pass,61965.266,5163.77,16.236,48.415,20,"re-measured (job 12473794) to fill MFU/TFLOPS; throughput within 1.22% of the original"
